filename,label,,,,,,
om_audio1,omkar,,,,,,
om_audio2,omkar,,,,,,
om_audio3,omkar,,,,,,
om_audio4,omkar,,,,,,
om_audio5,omkar,,,,,,
om_audio6,omkar,,,,,,
om_audio7,omkar,,,,,,
om_audio8,omkar,,,,,,
om_audio9,omkar,,,,,,
om_audio10,omkar,,,,,,
om_audio11,omkar,,,,,,
om_audio12,omkar,,,,,,
om_audio13,omkar,,,,,,
om_audio14,omkar,,,,,,
om_audio15,omkar,,,,,,
om_audio16,omkar,,,,,,
om_audio17,omkar,,,,,,
om_audio18,omkar,,,,,,
om_audio19,omkar,,,,,,
om_audio20,omkar,,,,,,
om_audio21,omkar,,,,,,
om_audio22,omkar,,,,,,
om_audio23,omkar,,,,,,
om_audio24,omkar,,,,,,
om_audio25,omkar,,,,,,
om_audio26,omkar,,,,,,
om_audio27,omkar,,,,,,
om_audio28,omkar,,,,,,
om_kriya_babaji_audio1,om-kriya-babaji,,,,,,
om_kriya_babaji_audio2,om-kriya-babaji,,,,,,
om_kriya_babaji_audio3,om-kriya-babaji,,,,,,
om_kriya_babaji_audio4,om-kriya-babaji,,,,,,
om_kriya_babaji_audio5,om-kriya-babaji,,,,,,
om_kriya_babaji_audio6,om-kriya-babaji,,,,,,
om_namha_shivay_audio1,om-namha-shivay,,,,,,
om_namha_shivay_audio2,om-namha-shivay,,,,,,
om_namha_shivay_audio3,om-namha-shivay,,,,,,
om_namha_shivay_audio4,om-namha-shivay,,,,,,
om_namha_shivay_audio5,om-namha-shivay,,,,,,
om_namha_shivay_audio6,om-namha-shivay,,,,,,
om_namha_shivay_audio7,om-namha-shivay,,,,,,
om_namha_shivay_audio8,om-namha-shivay,,,,,,
om_namha_shivay_audio9,om-namha-shivay,,,,,,
om_namha_shivay_audio10,om-namha-shivay,,,,,,
om_namha_shivay_audio11,om-namha-shivay,,,,,,
om_namha_shivay_audio12,om-namha-shivay,,,,,,
om_namha_shivay_audio13,om-namha-shivay,,,,,,
om_namha_shivay_audio14,om-namha-shivay,,,,,,
om_namha_shivay_audio15,om-namha-shivay,,,,,,
shiv_narayan_audio1,shiv-narayan,,,,,,
shiv_narayan_audio2,shiv-narayan,,,,,,
shiv_narayan_audio3,shiv-narayan,,,,,,
shiv_narayan_audio4,shiv-narayan,,,,,,
shiv_narayan_audio5,shiv-narayan,,,,,,
shiv_narayan_audio6,shiv-narayan,,,,,,
shiv_narayan_audio7,shiv-narayan,,,,,,
shiv_narayan_audio8,shiv-narayan,,,,,,
shiv_narayan_audio9,shiv-narayan,,,,,,
shiv_narayan_audio10,shiv-narayan,,,,,,
shiv_narayan_audio11,shiv-narayan,,,,,,
shiv_narayan_audio12,shiv-narayan,,,,,,
shiv_narayan_audio13,shiv-narayan,,,,,,
shiv_narayan_audio14,shiv-narayan,,,,,, 
shiv_narayan_audio15,shiv-narayan,,,,,,
shiv_narayan_audio16,shiv-narayan,,,,,,
shiv_narayan_audio17,shiv-narayan,,,,,,
shiv_narayan_audio18,shiv-narayan,,,,,,
shiv_narayan_audio19,shiv-narayan,,,,,,
shiv_narayan_audio20,shiv-narayan,,,,,,
shiv_narayan_audio21,shiv-narayan,,,,,,
shiv_narayan_audio22,shiv-narayan,,,,,,
shiv_narayan_audio23,shiv-narayan,,,,,,
shiv_narayan_audio24,shiv-narayan,,,,,,
shiv_narayan_audio25,shiv-narayan,,,,,,
shiv_narayan_audio26,shiv-narayan,,,,,,
shiv_narayan_audio27,shiv-narayan,,,,,,
shiv_narayan_audio28,shiv-narayan,,,,,,
shiv_narayan_audio29,shiv-narayan,,,,,,
shiv_narayan_audio30,shiv-narayan,,,,,,
shiv_narayan_audio31,shiv-narayan,,,,,,
shiv_narayan_audio32,shiv-narayan,,,,,,
